Year,agencyName,service,Activity,dollars
2012,Board of Elections,Fair Conduct of Elections,Operation of Elections,5417051
2012,Board of Elections,Fair Conduct of Elections,Training,107955
2012,Board of Elections,Fair Conduct of Elections,Payments to the State of Maryland,452400
2012,Board of Elections,Fair Conduct of Elections,Worker's Compensation Expenses,3251
2012,City Council,City Council,City Council,913457
2012,City Council,City Council,Board of Estimates,551122
2012,City Council,City Council,New District  ‐ J. Kraft,203471
2012,City Council,City Council,New District  ‐ B. Scott,195810
2012,City Council,City Council,New District  ‐ R. Curran,257453
2012,City Council,City Council,New District  ‐ B. Henry,205529
2012,City Council,City Council,New District  ‐ R. Spector,236036
2012,City Council,City Council,New District  ‐ S. Middleton,217468
2012,City Council,City Council,New District  ‐ N. Mosby,243157
2012,City Council,City Council,New District  ‐ H. Holton,210844
2012,City Council,City Council,New District  ‐ P. Welch,207072
2012,City Council,City Council,New District  ‐ E. Reisinger,247150
2012,City Council,City Council,New District  ‐ W. Cole,224861
2012,City Council,City Council,New District  ‐ C. Stokes,218492
2012,City Council,City Council,New District  ‐ W. Branch,242501
2012,City Council,City Council,New District  ‐ M. P. Clarke,217061
2012,City Council,City Council,Workers' Compensation Expenses,3494
2012,Comptroller,Executive Direction and Control  Comptroller,Executive Direction and Control,356711
2012,Comptroller,Executive Direction and Control  Comptroller,Board of Estimates,480489
2012,Comptroller,Executive Direction and Control  Comptroller,Workers' Compensation Expenses,304
2012,Comptroller,Audits,Audits,2756764
2012,Comptroller,Audits,Workers Compensation Expenses,119
2012,Comptroller,Audits,Information Technology Expenses,89544
2012,Comptroller,Real Estate Acquisition and Management,Real Estate Acquisition and Management,776502
2012,Comptroller,Real Estate Acquisition and Management,Worker's Compensation Expenses,382
2012,Comptroller,Municipal Telephone Exchange,Municipal Telephone Exchange,8363266
2012,Comptroller,Municipal Telephone Exchange,Pager/Mobile Phone Services,796226
2012,Comptroller,Municipal Telephone Exchange,Workers' Compensation Expenses,0
2012,Comptroller,Municipal Telephone Exchange,Information Technology Expenses,95413
2012,Comptroller,Municipal Post Office,Municipal Post Office,575568
2012,Comptroller,Municipal Post Office,Workers' Compensation Expenses,177
2012,Comptroller,Municipal Post Office,Information Technology Expenses,0
2012,Council Services,Council Services,Council Services,508641
2012,Courts Circuit Court,Circuit Court,Adjudications,6227259
2012,Courts Circuit Court,Circuit Court,Administration,3478331
2012,Courts Circuit Court,Circuit Court,Masters' and Jurors' Reimbursement,1654690
2012,Courts Circuit Court,Circuit Court,Addictions Assessment Unit,428353
2012,Courts Circuit Court,Circuit Court,Medical Services,1212808
2012,Courts Circuit Court,Circuit Court,Forensic Alternative Services Team,447665
2012,Courts Circuit Court,Circuit Court,Pre‐Trial/Pre‐Release,276304
2012,Courts Circuit Court,Circuit Court,Community Services,314502
2012,Courts Circuit Court,Circuit Court,Workers' Compensation Expenses,8948
2012,Courts Circuit Court,Circuit Court,Information Technology Expenses,115119
